"","name_of_sat","country_of_contractor","users","purpose","class_of_orbit","launch_site","GEO","LEO","MEO","Guiana","Baikonur","Cape","Vandenberg","Xichang","Commercial","Government","Military","Civil","Communication","EObs","TechDev","GPS","SpScience","TechDemo","Martime"
"617","Iridium 61","USA","Government/Commercial","Communications","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"618","Iridium 62","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"619","Iridium 64","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"620","Iridium 65","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"621","Iridium 66","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"622","Iridium 67","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"623","Iridium 68","USA","Government/Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"624","Iridium 7","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"625","Iridium 70","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"626","Iridium 72","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"627","Iridium 74","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"628","Iridium 75","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"629","Iridium 76","USA","Government/Commercial","Communications","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"630","Iridium 77","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"631","Iridium 8","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"632","Iridium 80","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"633","Iridium 81","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"634","Iridium 82","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"635","Iridium 83","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"636","Iridium 84","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"637","Iridium 86","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"638","Iridium 90","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"639","Iridium 91","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"640","Iridium 94","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"641","Iridium 95","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"642","Iridium 96","USA","Government/Commercial","Communications","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"643","Iridium 97","USA","Government/Commercial","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"644","Iridium 98","USA","Government/Commercial","Communications","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"645","IRIS","USA","Government","Space Science","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"646","IRNSS-1A","India","Government","Navigation/Regional Positioning","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"647","IRNSS-1B","India","Government","Navigation/Regional Positioning","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"648","IRNSS-1C","India","Government","Navigation/Regional Positioning","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"649","IRNSS-1D","India","Government","Navigation/Regional Positioning","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"650","IRNSS-1E","India","Government","Navigation/Regional Positioning","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"651","IRNSS-1F","India","Government","Navigation/Regional Positioning","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"652","IRNSS-1G","India","Government","Navigation/Regional Positioning","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"653","IRS-P6","India","Government","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"654","ITU-pSAT1","Turkey","Civil","Technology Development","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"655","Jason 2","France","Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"656","Jason 3","France","Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"657","JCSat 10","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"658","JCSat 110","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"659","JCSat 13","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"660","JCSat 14","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"661","JCSat 1B","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"662","JCSat 2A","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"663","JCSat 4A","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"664","JCSat RA","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"665","Jilin-1","China","Commercial","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"666","Jugnu","India","Civil","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"667","Kaituo-1A","China","Government","Technology Development","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"668","Kalpana-1","India","Government","Earth Observation","GEO","Satish Dhawan Space Center",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"669","KazEOSat-1","France","Government","Earth Observation","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"670","KazEOSat-2","UK","Government","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"671","KazSat-2","Russia","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"672","KazSat-3","Italy","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"673","Kent Ridge 1","Singapore","Civil","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"674","USA 186","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"675","USA 224","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"676","USA 245","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"677","KJSY-1","China","Civil","Technology Development","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"678","Kompsat-2","South Korea/France/UK/Germany","Government/Commercial","Earth Observation/Technology Development","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"679","Kompsat-3A","South Korea","Government/Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"680","Kompsat-5","South Korea","Government/Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"681","Cosmos 2487","Russia","Military","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"682","Koreasat 6","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"683","Kuaizhou-2","China","Government","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"684","USA 133","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"685","USA 152","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"686","USA 182","USA","Military","Earth Observation","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"687","Landsat 7","USA","Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"688","Landsat 8","USA","Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"689","LaoSat-1","China","Government","Communications","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"690","LAPAN A2","Indonesia","Government","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"691","LAPAN A3","Indonesia","Government","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"692","LAPAN-Tubsat","Germany","Government","Earth Observation/Technology Development","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"693","LatinSat A","USA","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"694","LatinSat B","USA","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"695","Lemur-1","USA","Commercial","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"696","Lemur-2 Chris","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"697","Lemur-2Jeroen","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"698","Lemur-2 Joel","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"699","Lemur-2 Peter","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"700","LilacSat-2","China","Civil","Technology Development","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"701","Ling Qiao","China","Commercial","Technology Development","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"702","Lingqiao-A","China","Commercial","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"703","Lingqiao-B","China","Commercial","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"704","LMRSTSat","USA","Government","Technology Demonstration","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"705","Cosmos 2455","Russia","Military","Earth Observation","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"706","Cosmos 2502","Russia","Military","Earth Observation","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"707","LQSat","China","Commercial","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"708","Luch 5A","Russia/France","Government","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"709","Luch 5B","Russia","Government","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"710","Luch 5V","Russia","Government","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"711","Luch/Olympus","Russia","Military","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"712","M3MSat","Canada","Government","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"713","Maroc Tubsat","Morocco/Germany","Government","Technology Development","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"714","M-Cubed/E1P-U2","USA","Civil","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"715","Measat 2","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"716","Measat 3","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"717","Measat 3A","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"718","Measat 3B","Germany/France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"719","Megha-Tropiques","India","Government","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"720","USA 105","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"721","USA 118","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"722","USA 250","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"723","Meridian-3","Russia","Military","Communications","Elliptical","Plesetsk Cosmodrome",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"724","Meridian-4","Russia","Military","Communications","Elliptical","Plesetsk Cosmodrome",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"725","Meridian-6","Russia","Military","Communications","Elliptical","Plesetsk Cosmodrome",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"726","Meridian-7","Russia","Military","Communications","Elliptical","Plesetsk Cosmodrome",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"727","Meteor-M N-2","Russia","Government","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"728","Meteosat 10","France","Government/Civil","Earth Observation","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"729","Meteosat 11","France/Italy","Government/Civil","Earth Observation","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"730","Meteosat 7","France","Government/Civil","Earth Observation","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"731","Meteosat 8","France","Government/Civil","Earth Observation","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"732","Meteosat 9","France/Italy","Government/Civil","Earth Observation","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"733","MetOp-A","France/UK/Germany/Spain","Government/Civil","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"734","MetOp-B","France/UK/Germany/Spain","Government/Civil","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"735","Mexsat-3","USA","Government/Military","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"736","Mexsat-2","USA","Government","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"737","MICROSCOPE","France","Government","Space Science","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"738","USA 99","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"739","USA 115","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"740","USA 157","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"741","USA 164","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"742","USA 169","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"743","MKA-FKI-1","Russia","Government","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"744","MMS-1","USA","Government","Space Science","Elliptical","Cape Canaveral",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"745","MMS-2","USA","Government","Space Science","Elliptical","Cape Canaveral",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"746","MMS-3","USA","Government","Space Science","Elliptical","Cape Canaveral",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"747","MMS-4","USA","Government","Space Science","Elliptical","Cape Canaveral",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"748","Microvariability & Oscillations of Stars (MOST)","Canada","Government","Space Science","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"749","Mozhayets 4","Russia","Civil","Technology Development","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"750","MSAT 1","Canada","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"751","MSAT 2","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"752","Multispectral Thermal Imager (MTI)","USA","Government/Military","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
"753","MUOS-1","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"754","MUOS-2","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"755","MUOS-3","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"756","MUOS-4","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"757","MUOS-5","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"758","Nanosat-1","Spain","Government","Communications","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"759","Nanosat-1B","Spain","Government","Communications/Technology Development","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"760","NATO-4B","France","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"761","USA 213","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"762","USA 262","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"763","USA 265","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"764","USA 266","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"765","USA 232","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"766","USA 239","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"767","USA 242","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"768","USA 248","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"769","USA 251","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"770","USA 256","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"771","USA 258","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"772","USA 260","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"773","USA 175","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"774","USA 177","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"775","USA 178","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"776","USA 180","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"777","USA 132","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"778","USA 145","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"779","USA 150","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"780","USA 151","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"781","USA 154","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"782","USA 156","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"783","USA 166","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"784","USA 168","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"785","USA 183","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"786","USA 190","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"787","USA 192","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"788","USA 196","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"789","USA 199","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"790","USA 201","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"791","USA 206","USA","Military/Commercial","Navigation/Global Positioning","MEO","Cape Canaveral",0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"792","Naxing 2","China","Civil","Technology Development","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
